o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
297,892,oU,440.2,1999-02-15,vx,pdaWS,2,OP
298,601,jW,185.27,1998-12-19,Sx,sivdmBs,1,so
299,925,Ei,957.87,1931-01-22,Xj,HtO,1,Lq
300,556,rR,431.54,2001-08-01,zz,fyF,5,ab
301,42,VP,686.8,1986-09-26,sA,IjOYt,4,"j "
302,961,fX,893.78,1956-07-06,xf,yOXmVSPffm,2,mf
303,454,ed,334.8,1963-05-09,mI,caobsoh a,2,IT
304,43,CQ,930.02,1936-02-22,iY,DOkyJDeO,4,"n "
305,579,mS,496.61,1974-03-12,QA,YLClNuZtw,5,cm
306,434,fL,393.15,1916-08-20,HO,SsQQYEnV,5,Gm
307,931,Yt,78.06,1931-09-13,oM,XVWGeZr,1,sT
308,790,YR,638.58,2016-12-01,uD,GZSPoWFrwX,1,bw
309,155,uQ,344.91,1929-01-12,LG,LMhJZIu,3,Fl
310,375,CE,56.51,2016-08-19,Tp,xLbrmJYG,3,pQ
311,718,jP,615.83,2014-01-23,Ej,MYpirw,2,AO
312,376,pR,86.16,1905-08-30,nD,jdiCUs,1,iN
313,70,bh,727.62,1985-03-22,Us,gqxFh,2,Bh
314,876,WC,254.52,2016-01-23,SQ,lgzjKZyXx,1,Sq
315,595,Go,690.89,1902-07-16,DH,VsMwtLDa,2,dI
316,797,cn,817.22,1914-08-14,QT,migwjD,2,"B "
317,643,Tl,814.49,1922-05-12,tb,feFM,1,Rv
318,739,co,380.44,1925-03-04,OV,yOZQaJ,4,Zm
319,228,PA,961.48,1990-04-18,Yl,YYkHjSPRvy,1,nb
320,493,ph,257.57,1936-02-04,zr,iRGscXPvZJ,3,mP
321,654,La,661.5,1940-10-19,Go,cU,5,Wl
322,661,Jr,614.07,1956-07-05,YA,hgvQImT,2,VX
323,145,JO,498.26,1908-03-15,ag,gban,1,fV
324,120,Wt,120.4,1978-03-21,gN,oTKFQlCQXE,1,UQ
325,626,er,527.45,2013-11-20,fc,RctybOny,2,cT
326,686,kq,66.02,1942-06-30,Lu,lSyJcMlNh,1,EE
327,337,YK,69.66,1995-04-18,QX,NrhyuDMnNT,2,lc
328,115,qa,685.49,1938-12-27,go,MqJMzm,3,BI
329,369,vb,653.48,1937-10-14,Lv,HaejxZNEcH,2,BZ
330,421,mh,555.26,1972-03-29,kO,Kr,3,Pt
331,122,Ip,555.69,1986-04-30,Fe,eMzpf,4,Dy
332,924,uQ,197.77,1934-08-18,mF,"qE ",1,dR
333,532,ke,560.69,1948-06-05,Sk,rr,4,jz
334,959,iN,227.17,2005-12-05,ET,fA,3,TO
335,767,re,199.58,1937-12-13,FN,soML,5,gt
336,182,PS,686.54,2004-01-18,nT,OfJAJxo,5,mE
337,328,zC,160.93,1956-12-07,fF,UHJPnhJn,2,PV
338,339,Gu,119.35,1981-05-28,RE,yA SrU zs,4,Ok
339,542,CM,429.71,1934-08-31,Su,IXRZx,4,lF
340,349,lj,826.86,1971-11-28,TI,KbeV,3,rg
341,8,mi,914.26,2015-08-06,Zx,eqQO,1,ND
342,707,MI,589.91,2010-05-24,UD,EXJcKK,4,iE
343,923,kw,909.33,1920-10-25,pf,kmSTFpx,4,NO
344,722,Py,536.21,1992-06-25,"P ",izvRK,1,PF
345,566,tA,845.68,1902-04-28,CG,CkSmPUu,4,CR
346,601,lL,850.93,1986-06-06,qI,ktchrDydUH,4,QC
347,494,ie,705.09,1966-08-02,CU,jpJtqFQL,2,Ov
348,613,oo,676.54,1928-01-16,Fb,td,2,wc
349,331,oY,766.09,1926-09-01,iO,Tw,4,uS
350,691,Fq,301.7,2014-09-19,Sr,QdHkec,4,cM
351,703,dc,401.8,1956-03-16,hK,YeFWGsOO,1,fn
352,281,tf,866.05,2016-11-15,Ia,GGEZSMiN,2,Wn
353,224,iS,29.04,2001-04-11,Ef,si,5,wO
354,100,xY,865.02,1900-12-07,"  ",FEcdhb,5,zW
355,357,KK,782.6,1969-09-23,Lv,sBvRgY,1,Rl
356,168,Uw,71.34,1983-08-21,Ay,TKbXMaxj,3,Oa
357,761,tr,832.21,1952-07-01,Ho,PmkV,1,BH
358,690,Df,619.18,1995-03-29,WM,nBnGIuSg,2,Th
359,140,Cb,365.63,1918-06-24,xQ,ObHnXOc,1,xv
360,593,YT,924.54,1976-11-16,uD,iYcLoUQqQp,5,Mg
361,400,Xm,432,1946-01-22,ou,wZyRIv,2,IA
362,842,TE,3.02,1989-01-08,cu,uyMfCZU,2,sp
363,837,mO,65.79,1995-12-05,BV,VyFvh,5,SL
364,437,nm,269.91,2016-07-13,cK,OOru,4,"B "
365,632,cD,476.53,1962-02-20,oc,uAxNF,2,Zh
366,789,zz,79.86,1941-01-16,iU,GXMtVmFqw,2,XX
367,747,bR,208.8,1955-01-14," r",lUKpAFs,1,cI
368,519,Ho,277.43,1975-08-25,Oc,Cz,4,iA
369,341,AX,754.55,2017-08-08,kU,aOIoic,4,rd
370,916,Jp,99.78,1986-05-17,rG,lvsruGNV,2,zy
371,852,YK,482.26,1929-08-18,TL,ZqRjeNQX,4,pK
372,526,iS,473.04,1977-02-02,xS,TycDJymqG,1,EP
373,18,HP,617.3,1903-02-23,PS,QSo,2,dk
374,336,ll,525.84,1939-05-07,YS,urybr,4,"D "
375,856,Gc,778.19,1936-04-02,eT,nzWR,5,Rv
376,818,PC,195.01,1930-10-06,xe,"ftGPOIs ",3,IT
377,571,fU,995.34,1997-03-08,qa,eimUW,4,"d "
378,482,Tw,618.46,1985-09-19,Tf,XS,2,qg
379,129,Yf,196.42,1936-05-14,GN,UwqNrVpVg,3,CY
380,391,fH,590.31,1936-02-07,AM,ePmSqxVS,5,Jx
381,816,KP,711.34,1996-01-28,Jh,cMBUx u,1,Pc
382,727,Dd,737.24,1976-02-21,mz,Evdn,1,SF
383,730,xD,314.02,1979-05-18,Sm,TT,4,kk
384,28,mz,443.67,1943-07-14,fX,ekH,5,bc
385,795,OB,220.18,1952-04-22,zN,zijBwOcO,3,fZ
386,324,Qq,401.9,1998-01-16,lE,aHe,1,Uo
387,70,hc,716.8,1973-07-28,pR,QtmMy,4,HU
388,3,ME,551.25,1910-10-06,qH,xkZtka,1,Br
389,19,Pw,236.15,1944-08-30,PC,PffodQg,1,Nl
390,14,ar,588.92,1958-09-09,jO,pFCtto Ghz,5,Of
391,25,RS,750.32,1914-10-07,Km,Zvt,4,Sd
392,557,yE,385.85,1912-09-25,eh,LGjW,3,hP
393,385,ms,649.12,1918-10-15,DM,VAIwegUp,2,"P "
394,764,hS,839.57,1975-07-19,Aw,IxLQZfoTl,1,RK
395,740,sO,734.62,1924-12-20,wN,IfTKPl,3,wb
396,474,QB,915.01,1956-05-24,bj,WtPasxeo,3,Wi
397,502,lk,460.58,1926-06-09,pW,uhhmUVjFgK,1,kR
398,671,JD,326.6,1938-10-16,FM,UhsySuFqGm,2,KU
399,854,ad,891.2,1907-08-04,Ir,CiBoG,4,CH
400,978,ZX,704.53,1958-05-23,qS,kXcSd,4,ss
401,652,hW,220.4,1904-10-16,Vc,kzhaBX,3,sP
402,124,kC,442.09,1904-12-13,lX,ikCvsELcT,5,DL
403,812,Az,283.67,2017-05-02,TV,uIA,2,wR
404,642,xC,754.04,2012-08-16,eu,nws,4,hG
405,585,aY,183.97,1984-03-02,UX,YZh,2,zv
406,44,hK,43.7,2016-08-11,LP,SUHMH,3,QH
407,599,rm,475.62,1981-12-04,xS,UehJGw,5,Vz
408,922,hP,759.13,1975-06-23,ay,OVCjBekqv,4,Pa
409,129,rd,224.96,1976-06-17,HX,nlGfBMC,3,vP
410,592,OY,862.02,2004-07-17,hB,pr,2,qh
411,829,tX,537.08,2005-10-02,Vs,PaVZJ,1,"  "
412,178,UF,104.82,1970-04-14,nW,Vd  FEwvW,3,JU
413,554,wj,755.66,1998-11-21,Av,mjBJ,3,OK
414,406,BF,310.17,1925-02-14,IG,JDtqUoYD,2,sE
415,278,Fy,120.96,1968-11-05,oA,NqCB,5,vc
416,920,cs,179.29,1918-12-07,Yt,IoCOuF,2,Hp
